SN	Date	HerdID	form_ID	species	AnimalID	Earing	Breed 	Age	Sex	Lactating	Healthy	Sick	Recovered	SampleID 	Sector 	Cell	Village	RBT_sample 	RBTDate	ELISA_sample	ELISADate 	RBT_ELISA
863		AJ	KAR013AJ	cattle	C595	1806611	Cross	Adult	Female	No	Repeat breeder			KARC864	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
864		AJ	KAR013AJ	cattle	C596	1455052	Cross	Adult	Female	No	Repeat breeder			KARC865	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
865		AJ	KAR013AJ	cattle	C597	1806618	Cross	Adult	Female	Yes	Repeat breeder			KARC866	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
866		AJ	KAR013AJ	cattle	C598	1806621	Cross	Adult	Female	Yes	Repeat breeder + abortion			KARC867	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
867		AJ	KAR013AJ	cattle	C599	1154227	Cross	Adult	Male	No	Yes			KARC868	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
868		AJ	KAR013AJ	cattle	C600	Kamirundi	Cross	Adult	Female	No	Abortion			KARC869	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
869		AJ	KAR013AJ	goat	G207	Nkungu yonsa ndegeya	Cross	Adult	Female	Yes	Yes			KARG870	Karangazi	Kamate	Muzehe	Negative	6/11/23	Positive	7/11/23	
870		AJ	KAR013AJ	goat	G208	Gitare kibere	Cross	Adult	Female	Yes	Yes			KARG871	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
871		AJ	KAR013AJ	goat	G209	Gitobo	Cross	Adult	Female	No	Pregnant			KARG872	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
872		AJ	KAR013AJ	goat	G210	Ruhaya	Cross	Adult	Male	No	Yes			KARG873	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
873		AJ	KAR013AJ	goat	G211	Cyasha mukara	Cross	Adult	Female	Yes	Yes			KARG874	Karangazi	Kamate	Muzehe	Negative	6/11/23	Positive	7/11/23	
874		AJ	KAR013AJ	goat	G212	Cyasha mutamu	Cross	Adult	Female	Yes	Yes			KARG875	Karangazi	Kamate	Muzehe	Positive	6/11/23	Negative	7/11/23	
875		AJ	KAR013AJ	goat	G213	Kanyonyozi	Cross	Adult	Female	Yes	Abortion			KARG876	Karangazi	Kamate	Muzehe	Negative	6/11/23	Positive	7/11/23	
876		AJ	KAR013AJ	goat	G214	Mweru	Cross	Adult	Female	Yes	Yes			KARG877	Karangazi	Kamate	Muzehe	Positive	6/11/23	Negative	7/11/23	
877		AJ	KAR013AJ	goat	G215	Ngabo	Cross	Adult	Female	No	Pregnant			KARG878	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
878		AJ	KAR013AJ	goat	G216	Nkungu ntoya	Cross	Adult	Female	Yes	Yes			KARG879	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
879		AJ	KAR013AJ	goat	G217	Gitobo gitukura	Cross	Adult	Female	Yes	Yes			KARG880	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
880	8/1/23	AK	KAR014AK	cattle	C601	748353	Cross	Adult	Female	No	Repeat breeder and abortion			KARC881	Karangazi	Kamate	Kajume	Negative	6/11/23	Negative	7/11/23	Negative 
881		AK	KAR014AK	cattle	C602	748357	Cross	Adult	Female	Yes	Repeat breeder and abortion			KARC882	Karangazi	Kamate	Kajume	Negative	6/11/23	Negative	7/11/23	Negative 
882		AK	KAR014AK	cattle	C603	748355	Cross	Adult	Female	Yes	Yes			KARC883	Karangazi	Kamate	Kajume	Negative	6/11/23	Negative	7/11/23	Negative 
883		AK	KAR014AK	cattle	C604	748351	Cross	Adult	Female	No	Repeat breeder			KARC884	Karangazi	Kamate	Kajume	Negative	6/11/23	Negative	7/11/23	Negative 
884		AK	KAR014AK	cattle	C605	748358	Cross	Adult	Female	Yes	Repeat breeder			KARC885	Karangazi	Kamate	Kajume	Negative	6/11/23	Negative	7/11/23	Negative 
885		AK	KAR014AK	cattle	C606	1550415	Cross	Adult	Female	Yes	Repeat breeder			KARC886	Karangazi	Kamate	Kajume	Negative	6/11/23	Negative	7/11/23	Negative 
886		AK	KAR014AK	cattle	C607	1550409	Cross	Adult	Female	Yes	Repeat breeder			KARC887	Karangazi	Kamate	Kajume	Negative	6/11/23	Negative	7/11/23	Negative 
887	8/2/23	AL	KAR015AL	cattle	C608	597350	Cross	Adult	Female	Yes	Repeat breeder			KARC888	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
888		AL	KAR015AL	cattle	C609	338360	Cross	Adult	Female	Yes	Aborted			KARC889	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
889		AL	KAR015AL	cattle	C610	1455049	Cross	Adult	Female	Yes	Repeat breeder			KARC890	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
890		AL	KAR015AL	cattle	C611	Indibori	Cross	Adult	Female	Yes	Repeat breeder			KARC891	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
891		AL	KAR015AL	cattle	C612	1454970	Cross	Adult	Female	No	Repeat breeder			KARC892	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
892		AL	KAR015AL	cattle	C613	1178607	Cross	Adult	Female	Yes	Repeat breeder			KARC893	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
893		AL	KAR015AL	cattle	C614	908461	Exotic	Adult	Female	No	Repeat breeder			KARC894	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
894		AL	KAR015AL	cattle	C615	338897	Cross	Adult	Female	No	Pregnant			KARC895	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
895		AL	KAR015AL	cattle	C616	883711	Cross	Adult	Female	No	Repeat breeder			KARC896	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
896		AL	KAR015AL	cattle	C617	1454975	Cross	Adult	Female	Yes	Yes			KARC897	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
897		AL	KAR015AL	cattle	C618	Mabere atatu	Cross	Adult	Female	No	Pregnant			KARC898	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
898		AL	KAR015AL	cattle	C619	416614	Cross	Adult	Female	No	Pregnant			KARC899	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
899		AL	KAR015AL	cattle	C620	869816	Cross	Adult	Female	Yes	Repeat breeder			KARC900	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
900		AL	KAR015AL	cattle	C621	Mbabazi	Cross	Adult	Female	Yes	Repeat breeder			KARC901	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
901		AL	KAR015AL	cattle	C622	1454981	Cross	Young Adult 	Female	No	Repeat breeder and pregnant			KARC902	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
902		AL	KAR015AL	cattle	C623	1454978	Cross	Young Adult 	Female	No	Yes			KARC903	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
903		AL	KAR015AL	cattle	C624	Gahembe	Cross	Young Adult 	Female	No	Repeat breeder			KARC904	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
904		AL	KAR015AL	cattle	C625	1454959	Cross	Young Adult 	Female	No	Yes			KARC905	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
905		AL	KAR015AL	cattle	C626	Murari	Cross	Young Adult 	Female	No	Repeat breeder			KARC906	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
906		AL	KAR015AL	cattle	C627	1455058	Cross	Young Adult 	Female	No	Yes			KARC907	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
907		AL	KAR015AL	cattle	C628	Kayenji	Cross	Young Adult 	Female	No	Yes			KARC908	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
908		AL	KAR015AL	cattle	C629	Maribori	Cross	Adult	Female	Yes	Aborted			KARC909	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
909		AL	KAR015AL	sheep	S063	Ijigija	Local	Adult	Female	No	Yes			KARS910	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
910		AL	KAR015AL	sheep	S064	Mweru nkuru	Local	Adult	Female	Yes	Yes			KARS911	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
911		AL	KAR015AL	sheep	S065	Nyamweru	Local	Adult	Female	No	Yes			KARS912	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
912		AL	KAR015AL	sheep	S066	Marineti	Local	Young Adult 	Female	No	Yes			KARS913	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
913		AL	KAR015AL	sheep	S067	Isekurume mukara	Local	Young Adult 	Male	No	Yes			KARS914	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
914		AL	KAR015AL	goat	G218	Musheru	Local	Adult	Female	Yes	Yes			KARG915	Karangazi	Kamate	Muzehe	Negative	6/11/23	Positive	7/11/23	
915		AL	KAR015AL	goat	G219	87474	Local	Adult	Female	Yes	Yes			KARG916	Karangazi	Kamate	Muzehe	Positive	6/11/23	Negative	7/11/23	
916		AL	KAR015AL	goat	G220	87464	Local	Adult	Female	No	Yes			KARG917	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
917		AL	KAR015AL	goat	G221	Rugabo	Local	Adult	Female	Yes	Yes			KARG918	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
918		AL	KAR015AL	goat	G222	87440	Local	Adult	Female	Yes	Yes			KARG919	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
919		AL	KAR015AL	goat	G223	Nkungu	Local	Adult	Female	Yes	Pregnant			KARG920	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
920		AL	KAR015AL	goat	G224	Mbuzi	Local	Adult	Female	Yes	Yes			KARG921	Karangazi	Kamate	Muzehe	Negative	6/11/23	Negative	7/11/23	Negative 
921	8/3/23	AM	KAR016AM	cattle	C630	941773	Cross	Adult	Female	Yes	Aborted			KARC922	Karangazi	Ndama 	Rwabiharamba	Positive	6/11/23	Positive	7/11/23	Positive
922		AM	KAR016AM	cattle	C631	583542	Cross	Adult	Female	Yes	Aborted			KARC923	Karangazi	Ndama 	Rwabiharamba	Positive	6/11/23	Positive	7/11/23	Positive
923		AM	KAR016AM	cattle	C632	941789	Cross	Adult	Female	No	Aborted and repeat breeder			KARC924	Karangazi	Ndama 	Rwabiharamba	Positive	6/11/23	Positive	7/11/23	Positive
924		AM	KAR016AM	cattle	C633	34859	Cross	Adult	Female	No	Aborted			KARC925	Karangazi	Ndama 	Rwabiharamba	Positive	6/11/23	Positive	7/11/23	Positive
925		AM	KAR016AM	cattle	C634	941776	Cross	Adult	Female	No	Repeat breeder			KARC926	Karangazi	Ndama 	Rwabiharamba	Positive	6/11/23	Positive	7/11/23	Positive
926		AM	KAR016AM	cattle	C635	904158	Cross	Adult	Female	Yes	Aborted			KARC927	Karangazi	Ndama 	Rwabiharamba	Positive	6/11/23	Positive	7/11/23	Positive
927		AM	KAR016AM	cattle	C636	909788	Cross	Adult	Male	No	Yes			KARC928	Karangazi	Ndama 	Rwabiharamba	Negative	6/11/23	Positive	7/11/23	
928		AM	KAR016AM	cattle	C637	966213	Cross	Adult	Male	No	Yes			KARC929	Karangazi	Ndama 	Rwabiharamba	Negative	6/11/23	Positive	7/11/23	
929		AM	KAR016AM	goat	G225	Ihene gihuga	Cross	Adult	Female	No	Pregnant			KARG930	Karangazi	Ndama 	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
930		AM	KAR016AM	goat	G226	Gitare	Cross	Adult	Female	Yes	Yes			KARG931	Karangazi	Ndama 	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
931		AM	KAR016AM	goat	G227	Nkungu	Cross	Adult	Female	Yes	Yes			KARG932	Karangazi	Ndama 	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
932		AM	KAR016AM	goat	G228	Gihuga bihembe	Cross	Adult	Female	No	Yes			KARG933	Karangazi	Ndama 	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
933		AM	KAR016AM	goat	G229	Isekurume musheru	Cross	Adult	Male	No	Yes			KARG934	Karangazi	Ndama 	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
934		AM	KAR016AM	goat	G230	Musheru	Cross	Adult	Female	No	Pregnant			KARG935	Karangazi	Ndama 	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
935		AM	KAR016AM	goat	G231	Mutamu	Cross	Adult	Female	No	Yes			KARG936	Karangazi	Ndama 	Rwabiharamba	Negative	6/11/23	Negative	7/11/23	Negative 
936	8/3/23	AN	KAR017AN	cattle	C638	654252	Cross	Adult	Female	Yes	Aborted			KARC937	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
937		AN	KAR017AN	cattle	C639	654241	Cross	Adult	Female	Yes	Yes			KARC938	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
938		AN	KAR017AN	cattle	C640	654249	Cross	Adult	Female	No	Yes			KARC939	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
939		AN	KAR017AN	cattle	C641	654270	Cross	Adult	Female	Yes	Yes			KARC940	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
940		AN	KAR017AN	cattle	C642	654226	Cross	Adult	Female	Yes	Repeat breeder			KARC941	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
941		AN	KAR017AN	cattle	C643	654271	Cross	Adult	Female	No	Yes			KARC942	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
942		AN	KAR017AN	cattle	C644	654272	Cross	Adult	Female	Yes	Yes			KARC943	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
943		AN	KAR017AN	cattle	C645	654214	Cross	Adult	Female	Yes	Yes			KARC944	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
944		AN	KAR017AN	cattle	C646	654230	Cross	Adult	Female	No	Yes			KARC945	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
945		AN	KAR017AN	cattle	C647	654267	Cross	Adult	Female	Yes	Yes			KARC946	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
946		AN	KAR017AN	cattle	C648	654245	Cross	Adult	Female	Yes	Yes			KARC947	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Positive	7/11/23	
947		AN	KAR017AN	cattle	C649	654222	Cross	Adult	Male	Yes	Yes			KARC948	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
948		AN	KAR017AN	cattle	C650	654238	Cross	Adult	Female	Yes	Yes			KARC949	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
949		AN	KAR017AN	cattle	C651	1605369	Cross	Adult	Female	No	Yes			KARC950	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
950		AN	KAR017AN	cattle	C652	654254	Cross	Adult	Female	Yes	Yes			KARC951	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
951		AN	KAR017AN	cattle	C653	1580268	Cross	Adult	Female	No	Repeat breeder			KARC952	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
952		AN	KAR017AN	cattle	C654	654224	Cross	Adult	Female	No	Aborted			KARC953	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
953		AN	KAR017AN	cattle	C655	654262	Cross	Adult	Female	Yes	Yes			KARC954	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
954		AN	KAR017AN	cattle	C656	654253	Cross	Adult	Female	Yes	Yes			KARC955	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
955		AN	KAR017AN	cattle	C657	654250	Cross	Adult	Female	Yes	Aborted			KARC956	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
956		AN	KAR017AN	sheep	S068	1 Ijigija	Local	Adult	Female	No	Yes			KARC957	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
957		AN	KAR017AN	sheep	S069	2 Mukara	Local	Adult	Female	No	Aborted			KARC958	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
958		AN	KAR017AN	sheep	S070	3 Patrick	Local	Adult	Male	No	Yes			KARC959	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
959		AN	KAR017AN	sheep	S071	4	Local	Young Adult 	Female	No	Yes			KARC960	Karangazi	Kizirakombe	Kageyo	Negative	6/11/23	Negative	7/11/23	Negative 
